"CA Owner","Salesforce Record ID","Certificate Name","Parent Salesforce Record ID","Parent Certificate Name","Certificate Record Type","Revocation Status","SHA-256 Fingerprint","Parent SHA-256 Fingerprint","Audits Same as Parent?","Auditor","Standard Audit URL","Standard Audit Type","Standard Audit Statement Date","Standard Audit Period Start Date","Standard Audit Period End Date","NetSec Audit URL","NetSec Audit Type","NetSec Audit Statement Date","NetSec Audit Period Start Date","NetSec Audit Period End Date","TLS BR Audit URL","TLS BR Audit Type","TLS BR Audit Statement Date","TLS BR Audit Period Start Date","TLS BR Audit Period End Date","TLS EVG Audit URL","TLS EVG Audit Type","TLS EVG Audit Statement Date","TLS EVG Audit Period Start Date","TLS EVG Audit Period End Date","Code Signing Audit URL","Code Signing Audit Type","Code Signing Audit Statement Date","Code Signing Audit Period Start Date","Code Signing Audit Period End Date","S/MIME BR Audit URL","S/MIME BR Audit Type","S/MIME BR Audit Statement Date","S/MIME BR Audit Period Start Date","S/MIME BR Audit Period End Date","CP/CPS Same as Parent?","Certificate Policy (CP) URL","Certificate Practice Statement (CPS) URL","CP/CPS Last Updated Date","Test Website URL - Valid","Test Website URL - Expired","Test Website URL - Revoked","Technically Constrained","Subordinate CA Owner","Full CRL Issued By This CA","JSON Array of Partitioned CRLs","Valid From (GMT)","Valid To (GMT)","Derived Trust Bits","Chrome Status","Microsoft Status","Mozilla Status","Status of Root Cert","Authority Key Identifier","Subject Key Identifier","Country","TLS Capable","TLS EV Capable","Code Signing Capable","S/MIME Capable","CP Same as Parent?","CP Last Update Date","CPS Same as Parent?","CPS Last Update Date","Certificate Practice & Policy Statement"
"DigiCert","0011J00001DZ0NbQAL","GREEN SHIELD CANADA CA","001o000000HshGSAAZ","VeriSign Class 2 Public Primary Certification Authority - G3","Intermediate Certificate","Not Revoked","6A7146319034A1F380E6B32A8FAC0069EB1D332477F4EAD33762F8A614A552F2","92A9D9833FE1944DB366E8BFAE7A95B6480C2D6C6C2A1BE65D4236B608FCA1BB","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","","","2010.12.02","2020.12.01","","Not Included","Not Included","Provided by CA","Apple: Removed; Google Chrome: Not Included; Microsoft: Included; Mozilla: Removed","","D16CrnJ7I99CumBGFf0D/sBPejY=","United States of America","False","False","False","False","true","","true","",""
"DigiCert","001o000000foP9JAAU","Greenville Health System CA","001o000000foP3kAAE","Orion Health Direct Secure Messaging CA","Intermediate Certificate","Parent Cert Revoked","06433FCA9F753980B526236DD72846EC1B20770BFCC7D3188DD67BC0ECFB7782","A4106DA85F7B34A6D3DE37884D1528916B84F046FFB7D4AAC521117B0C6995F3","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","","[""http://crl3.digicert.com/GreenvilleHealthSystemCA.crl""]","2014.03.05","2024.03.05","","Not Included","Not Included","Provided by CA","Apple: Included; Google Chrome: Included; Microsoft: Included; Mozilla: Included","pW4i/zlpOiP7iSQXxmCUABrajp4=","4K23lsEmjBL8RwuKhXeev+FSXDE=","United States of America","False","False","False","False","true","","true","",""
"DigiCert","0011J00001DZ0NcQAL","Groupe SEB CA","001o000000HshGSAAZ","VeriSign Class 2 Public Primary Certification Authority - G3","Intermediate Certificate","Not Revoked","A6660F520CFF42D0FAB11571FE0E6285B760ED13A3F9D9E336A51733FA47AD42","92A9D9833FE1944DB366E8BFAE7A95B6480C2D6C6C2A1BE65D4236B608FCA1BB","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","","","2008.12.11","2018.12.10","","Not Included","Not Included","Provided by CA","Apple: Removed; Google Chrome: Not Included; Microsoft: Included; Mozilla: Removed","","UAsfPLnLoI2ho9xYUHk4oAQ1xeg=","United States of America","False","False","False","False","true","","true","",""
"DigiCert","0011J00001DZ0NeQAL","GRUPO S21SEC GESTION SA CA","001o000000HshGSAAZ","VeriSign Class 2 Public Primary Certification Authority - G3","Intermediate Certificate","Not Revoked","D207234E2CD9A7EAB56C70F802C05483C3ABB4C946B8CDE29759FFC430268493","92A9D9833FE1944DB366E8BFAE7A95B6480C2D6C6C2A1BE65D4236B608FCA1BB","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","","","2009.05.12","2019.05.11","","Not Included","Not Included","Provided by CA","Apple: Removed; Google Chrome: Not Included; Microsoft: Included; Mozilla: Removed","","FbWBV3UEXPD58aCeI9FbH/Mo8yU=","United States of America","False","False","False","False","true","","true","",""
"DigiCert","0011J00001OcvmEQAR","Henkel Secure E-mail CA","001o000000HshEUAAZ","DigiCert Assured ID Root G2","Intermediate Certificate","Revoked","8F179293A1CCB9BD918C9DB748338E32D0022358275CE9E79E8DBE3A69FF4464","7D05EBB682339F8C9451EE094EEBFEFA7953A114EDB2F44949452FAB7D2FC185","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","","","2019.05.23","2024.05.23","","Not Included","Not Included","Provided by CA","Apple: Included; Google Chrome: Included; Microsoft: Included; Mozilla: Included","zsNKuZlV8rjbYL+pfr1WtZc2p9Y=","2Yu3SFYknTMEtgqQ3WKBAoFEkyU=","United States of America","False","False","False","False","true","","true","",""
"DigiCert","0011J00001Ocvm4QAB","Henkel Secure E-mail CA","001o000000HshEUAAZ","DigiCert Assured ID Root G2","Intermediate Certificate","Not Revoked","7D89BA7764CFF6FE2EE9AD44838D56C5D57F3DD736F96068DE9B0A1710FB3D47","7D05EBB682339F8C9451EE094EEBFEFA7953A114EDB2F44949452FAB7D2FC185","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","http://pki-crl.symauth.com/ca_caad049ed933afd3398008b710fdae35/LatestCRL.crl","","2019.05.29","2024.05.29","","Not Included","Not Included","Provided by CA","Apple: Included; Google Chrome: Included; Microsoft: Included; Mozilla: Included","zsNKuZlV8rjbYL+pfr1WtZc2p9Y=","2Yu3SFYknTMEtgqQ3WKBAoFEkyU=","United States of America","False","False","False","False","true","","true","",""
"DigiCert","0018Z00002yC3fwQAC","Henkel Secure E-mail CA G2","001o000000HshEaAAJ","DigiCert Trusted Root G4","Intermediate Certificate","Not Revoked","0872E14A4E2B7B1BA0DE0B785493E0F4B25E2E584A3F3462F0A1901CB7BBE5F0","552F7BDCF1A7AF9E6CE672017F4F12ABF77240C78E761AC203D1D9D20AC89988","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","http://pki-crl.symauth.com/ca_5179893ebc7f5cb1adaa58c360e76e15/LatestCRL.crl","","2023.05.10","2033.05.09","Secure Email;Client Authentication","Not Included","Not Included","Provided by CA","Apple: Included; Google Chrome: Included; Microsoft: Included; Mozilla: Included","7NfjgtJxXWRM3y5nP+e6mK4cD08=","VDt0yZ30DEK2NS7VcpTpo/XtJ64=","United States of America","False","False","False","True","true","","true","",""
"DigiCert","001TO00000A2vinYAB","Henkel Secure E-mail CA G3","001o000000HshEaAAJ","DigiCert Trusted Root G4","Intermediate Certificate","Not Revoked","CA365E4C288118297CDC78B4DC01734E2B7A3CAB2CDFED6A2DB7788D3AA39A7C","552F7BDCF1A7AF9E6CE672017F4F12ABF77240C78E761AC203D1D9D20AC89988","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","","[""http://crl.digicert.eu/HenkelSecureE-mailCAG3.crl""]","2024.05.23","2034.05.22","Secure Email;Client Authentication","Not Included","Not Included","Provided by CA","Apple: Included; Google Chrome: Included; Microsoft: Included; Mozilla: Included","7NfjgtJxXWRM3y5nP+e6mK4cD08=","DNhApJ7zteB+dLSPPGeenxqbj9c=","United States of America","False","False","False","True","true","","true","",""
"DigiCert","0011J00001DZ0NfQAL","Hewlett Packard Enterprise Collaboration CA","001o000000HshGSAAZ","VeriSign Class 2 Public Primary Certification Authority - G3","Intermediate Certificate","Not Revoked","2EAA4251B3FFDD3AE904833A08B7FE1E7717C17082455C07F6F6DA902CBAC5D0","92A9D9833FE1944DB366E8BFAE7A95B6480C2D6C6C2A1BE65D4236B608FCA1BB","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","","","2015.03.17","2025.03.16","Client Authentication;Secure Email","Not Included","Not Included","Provided by CA","Apple: Removed; Google Chrome: Not Included; Microsoft: Included; Mozilla: Removed","","9uBFgssMSw60WIgh9Y5HviSGYFA=","United States of America","False","False","False","True","true","","true","",""
"DigiCert","0011J00001MnHgUQAV","Hewlett Packard Enterprise Collaboration CA G21","001o000000HshEUAAZ","DigiCert Assured ID Root G2","Intermediate Certificate","Not Revoked","B6E4C8D9D575A61404DE568E27BD6F3048D7B0F803065E2F6526260BDCA3D211","7D05EBB682339F8C9451EE094EEBFEFA7953A114EDB2F44949452FAB7D2FC185","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","","http://pki-crl.symauth.com/ca_8fde56bfdd102ce03026867625d03b1f/LatestCRL.crl","","2019.04.01","2029.04.01","Client Authentication;Secure Email","Not Included","Not Included","Provided by CA","Apple: Included; Google Chrome: Included; Microsoft: Included; Mozilla: Included","zsNKuZlV8rjbYL+pfr1WtZc2p9Y=","FJlSkglh0NGUMxEoPnytc73MTnE=","United States of America","False","False","False","True","true","","true","",""
